aX,aY,aZ,gX,gY,gZ
1.305,0.267,1.485,33.997,-19.836,4.578
1.399,0.320,1.609,35.950,-12.085,2.869
1.791,0.395,1.642,44.067,-3.723,0.366
1.927,0.474,1.795,37.964,-7.568,1.038
1.955,0.542,1.947,30.762,-7.080,-0.549
1.817,0.605,2.063,22.034,3.235,-0.183
1.678,0.686,2.110,9.155,23.560,1.709
1.488,0.835,2.118,0.000,51.147,10.620
1.350,1.009,2.006,-14.832,81.299,17.761
1.232,1.175,1.808,-19.592,116.089,16.968
1.042,1.285,1.596,-16.418,151.917,4.822
1.142,1.301,1.273,5.981,190.918,-23.315
1.071,1.149,1.019,31.250,220.947,-65.063
0.908,0.809,0.767,63.843,250.183,-116.821
0.668,0.382,0.505,96.008,278.381,-157.715
0.371,-0.039,0.221,115.356,298.584,-177.185
0.182,-0.393,-0.102,122.803,304.687,-169.006
-0.005,-0.637,-0.416,117.310,288.330,-136.292
-0.288,-0.773,-0.682,102.051,248.230,-88.745
-0.369,-0.745,-0.873,79.651,181.396,-27.771
-0.490,-0.518,-0.884,53.040,89.294,41.382
-0.437,-0.170,-0.676,34.363,-5.493,92.468
-0.251,0.040,-0.286,35.522,-91.553,98.083
-0.482,-0.051,0.253,43.579,-166.748,57.068
-0.826,-0.334,0.742,58.594,-204.895,3.723
-0.912,-0.656,1.052,80.200,-191.956,-33.936
-1.035,-0.973,1.241,99.976,-160.950,-51.636
-1.241,-1.216,1.356,105.835,-128.479,-46.997
-1.398,-1.375,1.287,109.436,-84.473,-24.841
-1.564,-1.405,1.101,115.051,-42.053,11.841
-1.729,-1.262,0.869,114.868,-20.935,58.228
-1.818,-0.952,0.703,107.727,-20.691,101.990
-1.743,-0.593,0.650,93.933,-40.466,129.700
-1.818,-0.297,0.752,72.937,-81.055,133.057
-1.642,-0.128,0.972,47.791,-129.395,112.061
-1.561,-0.218,1.192,25.513,-165.955,65.796
-1.325,-0.492,1.398,3.479,-196.594,21.545
-1.288,-0.758,1.656,-28.809,-232.422,10.559
-1.314,-0.775,1.990,-71.228,-263.489,51.514
-1.301,-0.491,2.286,-102.112,-265.137,125.061
-1.322,0.025,2.475,-119.568,-232.422,202.515
-1.250,0.659,2.508,-118.408,-169.495,258.728
-1.116,1.278,2.411,-96.558,-86.365,273.682
-0.740,1.772,2.156,-55.786,7.874,234.741
-0.372,1.966,1.803,-6.531,94.360,134.460
-0.222,1.722,1.376,26.245,152.344,-7.263
-0.179,1.071,0.990,40.771,185.059,-151.550
-0.317,0.244,0.693,39.551,201.904,-273.010
-0.496,-0.582,0.428,41.504,205.872,-347.473
-0.573,-1.289,0.188,44.800,200.256,-362.244
-0.510,-1.788,-0.042,49.622,187.805,-322.144
-0.384,-2.043,-0.235,53.833,163.818,-241.882
-0.307,-2.042,-0.347,52.551,122.742,-137.573
-0.262,-1.720,-0.336,46.753,65.918,-24.780
-0.260,-1.150,-0.111,34.790,2.136,73.975
-0.232,-0.577,0.220,24.414,-59.387,138.672
-0.245,-0.072,0.629,12.634,-113.831,167.480
-0.210,0.333,1.051,0.183,-150.696,163.086
-0.186,0.599,1.459,-12.939,-165.161,130.127
-0.211,0.698,1.806,-26.001,-157.776,76.477
-0.264,0.609,2.052,-35.278,-126.404,11.230
-0.332,0.345,2.154,-35.889,-74.158,-53.040
-0.373,-0.036,2.044,-24.414,-8.423,-103.577
-0.435,-0.391,1.757,-4.700,57.007,-129.150
-0.445,-0.628,1.387,14.343,110.107,-128.540
-0.433,-0.765,1.002,28.198,144.836,-109.985
-0.435,-0.825,0.635,35.095,160.278,-82.947
-0.427,-0.773,0.338,36.865,150.818,-47.058
